-1 1:0.0891470315421987 2:0.050907743314379986 3:0.0 4:0.0 5:0.038676815554809583 6:0.660844250363901 7:0.49393097396899677 8:0.5273340546044676 9:0.5144745122718691 10:0.0 11:0.0 12:0.6672830568429575 13:0.0 14:0.49792119973904003 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 20:0.0 #1197221562
-1 1:0.1050984574182979 2:0.03957891362040982 3:0.16707817558299037 4:0.0 5:0.022295304506689928 6:0.7481804949053857 7:0.6785609827434923 8:0.692197543435372 9:0.6724354940213971 10:0.5 11:0.0 12:0.5214222839402752 13:0.38569460791993504 14:0.41996052556580804 15:0.0 16:0.18518518518518517 17:0.0 18:0.1 19:0.0 20:0.25 #336728665
-1 1:0.05754653895573399 2:0.024195076800239062 3:0.16707817558299037 4:0.0 5:0.05354184363962821 6:0.8471615720524017 7:0.5281515062883885 8:0.5861070451218736 9:0.5549611915250682 10:1.0 11:0.0 12:0.6618798662428024 13:0.0 14:0.4233337566673017 15:0.0 16:0.037037037037037035 17:0.0 18:0.05 19:0.0 20:0.0 #67029875
1 1:0.2904955311732944 2:0.15137196763869237 3:0.22222222222222224 4:0.0 5:0.10939587587433576 6:0.23435225618631733 7:0.2119040655162328 8:0.26575128874180615 9:0.27291797776379273 10:0.0 11:0.6 12:0.7184103708674346 13:0.3570838203861693 14:0.3616358638356219 15:0.0 16:0.2222222222222222 17:1.0 18:0.1 19:0.5 20:0.25 #100006011527
-1 1:0.510769911314171 2:0.07378048996994128 3:0.13840877914951988 4:0.0 5:0.11020215803314319 6:0.15429403202328967 7:0.21102661596958175 8:0.2736905746833832 9:0.2997692469058108 10:0.5 11:0.0 12:0.6476570845828705 13:0.25712973861329 14:0.21339479988816 15:0.0 16:0.18518518518518517 17:0.0 18:0.15 19:0.0 20:0.25 #424933770
1 1:0.2904955311732944 2:0.2929825365032318 3:0.11111111111111112 4:0.0 5:0.22174577871819243 6:0.23435225618631733 7:0.2119040655162328 8:0.26575128874180615 9:0.27291797776379273 10:0.0 11:0.6533333333333333 12:0.8050856628891618 13:0.3570838203861693 14:0.7294801825540141 15:0.29880715233359845 16:0.2222222222222222 17:1.0 18:0.1 19:0.5 20:0.25 #100006011527
-1 1:0.28946977775233257 2:0.2481167562306012 3:0.0013717421124828533 4:0.0 5:0.15550506304982536 6:0.09024745269286755 7:0.1221117285756069 8:0.13412461019537963 9:0.13205370253828402 10:0.5 11:0.0 12:0.4889025048841315 13:0.3570838203861693 14:0.4622501635210244 15:0.0 16:0.2222222222222222 17:1.0 18:0.2 19:0.0 20:0.25 #100006218681
-1 1:0.2928731870101022 2:0.16623143437698756 3:0.637448559670782 4:0.0 5:0.10416342339893597 6:0.47161572052401746 7:0.4664375548405967 8:0.5697034302806593 9:0.5819173484371722 10:1.0 11:0.0 12:0.4789402472449565 13:0.5951397006436155 14:0.3616358638356219 15:0.0 16:0.2222222222222222 17:0.0 18:0.15 19:0.0 20:0.0 #109104514
1 1:0.2904955311732944 2:0.18744911015646248 3:0.4444444444444445 4:0.0 5:0.13106359027241982 6:0.23435225618631733 7:0.2119040655162328 8:0.26575128874180615 9:0.27291797776379273 10:0.0 11:0.29333333333333333 12:0.6059071971068457 13:0.3570838203861693 14:0.1756820922315766 15:0.0 16:0.2222222222222222 17:1.0 18:0.1 19:0.5 20:0.25 #100006011527
-1 1:0.14310711811828547 2:0.6847370498219537 3:0.0027434842249657067 4:0.0 5:0.43863702368526364 6:0.09461426491994178 7:0.06632056156770985 8:0.07247183860497677 9:0.07677784770295784 10:0.0 11:0.16 12:0.5399909427522943 13:0.4453617714151233 14:0.6227205981308944 15:0.5590169943749476 16:0.037037037037037035 17:0.0 18:0.0 19:0.5 20:0.0 #60737410
-1 1:0.14310711811828547 2:0.6007284804483489 3:0.0027434842249657067 4:0.0 5:0.43863702368526364 6:0.09461426491994178 7:0.06632056156770985 8:0.07247183860497677 9:0.07677784770295784 10:0.5 11:0.16 12:0.5399909427522943 13:0.4453617714151233 14:0.6227205981308944 15:0.5590169943749476 16:0.037037037037037035 17:0.0 18:0.0 19:0.5 20:0.0 #587611950
-1 1:1.0 2:0.4805732588550807 3:0.11111111111111112 4:0.0 5:0.31117193698605883 6:0.036390101892285295 7:0.13878326996197718 8:0.15536498440781518 9:0.16131739039228027 10:1.0 11:0.05333333333333334 12:0.5089620455697504 13:0.31491832864888675 14:0.6148873228105182 15:0.0 16:0.1111111111111111 17:0.0 18:0.15 19:0.0 20:0.0 #103614964
1 1:0.41290975629051085 2:0.33346515532422166 3:0.25089163237311385 4:0.0 5:0.20062361951265187 6:0.38719068413391555 7:0.5461392219947353 8:0.661872335009228 9:0.6756870148940634 10:0.0 11:0.013333333333333334 12:0.48539852103170833 13:0.2816715160878121 14:0.462962962962963 15:0.0 16:0.14814814814814814 17:1.0 18:0.1 19:0.0 20:0.25 #100004725169
-1 1:0.32206674216857173 2:0.33042214503960876 3:0.3347050754458162 4:0.0 5:0.21386226761050242 6:0.27074235807860264 7:0.30476747587013747 8:0.3651753325272068 9:0.3751835535976505 10:0.5 11:0.13333333333333333 12:0.49947095752322573 13:0.4723774929733302 14:0.5716619504750294 15:0.0 16:0.1111111111111111 17:0.0 18:0.1 19:0.0 20:0.25 #92615066
-1 1:0.42445272190852085 2:0.2006318771350161 3:0.0013717421124828533 4:0.0 5:0.23814395767831842 6:0.17758369723435224 7:0.20166715413863703 8:0.2587348055750016 9:0.28078456052024336 10:1.0 11:0.26666666666666666 12:0.6037735849056604 13:0.18181818181818182 14:0.4103049699311091 15:0.0 16:0.07407407407407407 17:0.0 18:0.1 19:0.0 20:0.0 #259700996
-1 1:0.19139326994281278 2:0.17402696158800848 3:0.38792866941015086 4:0.0 5:0.10150813781157902 6:0.5036390101892285 7:0.5016817782977478 8:0.5496086043403551 9:0.5441053073211664 10:0.0 11:0.0 12:0.4889025048841315 13:0.128564869306645 14:0.4622501635210244 15:0.0 16:0.2222222222222222 17:0.0 18:0.2 19:0.0 20:0.0 #60737347
-1 1:0.19139326994281278 2:0.15641664132544508 3:0.3606310013717421 4:0.0 5:0.10150813781157902 6:0.5036390101892285 7:0.5016817782977478 8:0.5496086043403551 9:0.5441053073211664 10:0.5 11:0.0 12:0.4889025048841315 13:0.128564869306645 14:0.4622501635210244 15:0.0 16:0.2222222222222222 17:0.0 18:0.2 19:0.0 20:0.0 #160406431
-1 1:0.32206674216857173 2:0.13165051840849346 3:0.6101508916323731 4:0.0 5:0.07067914567787995 6:0.27074235807860264 7:0.30476747587013747 8:0.3651753325272068 9:0.3751835535976505 10:1.0 11:0.08 12:0.5777098449960325 13:0.4723774929733302 14:0.5862720589012071 15:0.0 16:0.1111111111111111 17:0.0 18:0.1 19:0.0 20:0.25 #92615066
-1 1:0.6739241505461918 2:0.4512809498529309 3:0.3633744855967078 4:0.0 5:0.2781852746941815 6:0.004366812227074236 7:0.013673588768645804 8:0.017978743715394895 9:0.020086007971470525 10:0.0 11:0.013333333333333334 12:0.5840116466848256 13:0.14083575804390605 14:0.07055562611121695 15:0.0 16:0.14814814814814814 17:1.0 18:0.1 19:0.5 20:0.25 #100015706338
-1 1:0.4237931640201109 2:0.3084727401397018 3:0.2249657064471879 4:0.0 5:0.19944412006985895 6:0.16448326055312956 7:0.23486399532026908 8:0.2833004518551518 9:0.29426263897629534 10:0.5 11:0.8133333333333334 12:0.7735849056603773 13:0.0 14:0.2735366466207394 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 20:0.0 #1028312909
-1 1:0.32206674216857173 2:0.3011040881317908 3:0.49903978052126197 4:0.0 5:0.18930908897730667 6:0.27074235807860264 7:0.30476747587013747 8:0.3651753325272068 9:0.3751835535976505 10:1.0 11:0.5466666666666666 12:0.8047396532894111 13:0.4723774929733302 14:0.5555555555555556 15:0.0 16:0.1111111111111111 17:0.0 18:0.1 19:0.0 20:0.25 #92615066
-1 1:0.1733151075009101 2:0.28861742751578984 3:0.13840877914951988 4:0.0 5:0.2176198897663127 6:0.5604075691411936 7:0.5092132202398362 8:0.5743810857251958 9:0.5588420390182505 10:0.0 11:0.0 12:0.7116104112697936 13:0.3340213285613424 14:0.5429753082502454 15:0.0 16:0.25925925925925924 17:0.0 18:0.2 19:0.5 20:0.25 #1311628074
-1 1:0.11088234450573446 2:0.2005968844132804 3:0.27818928669410153 4:0.0 5:0.2578934151299761 6:0.5531295487627366 7:0.574656332260895 8:0.5805065869025647 9:0.5389133627019089 10:0.5 11:0.0 12:0.5061434271268488 13:0.0 14:0.21166687833365086 15:0.0 16:0.25925925925925924 17:0.0 18:0.25 19:0.0 20:0.0 #1260038478
-1 1:0.6739241505461918 2:0.14688778182009327 3:0.39341563786008227 4:0.0 5:0.08119877256048921 6:0.004366812227074236 7:0.013673588768645804 8:0.017978743715394895 9:0.020086007971470525 10:1.0 11:0.013333333333333334 12:0.6084002700749028 13:0.14083575804390605 14:0.0689081858828936 15:0.0 16:0.14814814814814814 17:1.0 18:0.1 19:0.5 20:0.25 #100015706338
-1 1:0.06809337622304507 2:0.2674875131995546 3:0.3606310013717421 4:0.0 5:0.17946713819358304 6:0.6783114992721979 7:0.6391488739397485 8:0.6204575828931458 9:0.5856408642752255 10:0.0 11:0.0 12:0.6179774624185049 13:0.4761117605148924 14:0.33935956765640335 15:0.0 16:0.2222222222222222 17:0.0 18:0.1 19:0.5 20:0.0 #1301124911
-1 1:0.19675880341944663 2:0.23292323532840603 3:0.748559670781893 4:0.0 5:0.14612674449977106 6:0.17321688500727803 7:0.17570927171687628 8:0.19221345382804048 9:0.19110551709670653 10:0.5 11:0.02666666666666667 12:0.5913048778566119 13:0.0 14:0.5143444998736397 15:0.0 16:0.07407407407407407 17:0.0 18:0.05 19:0.0 20:0.0 #645209415
-1 1:0.21237055190889195 2:0.22311235107253052 3:0.25089163237311385 4:0.0 5:0.13264034733013164 6:0.15429403202328967 7:0.13819830359754315 8:0.15547635715649463 9:0.1617369414726243 10:1.0 11:0.04 12:0.7587158212408717 13:0.4723774929733302 14:0.5892556509887896 15:0.0 16:0.1111111111111111 17:0.0 18:0.05 19:0.0 20:0.0 #60737401
-1 1:0.32206674216857173 2:0.25294390029533503 3:0.5842249657064472 4:0.0 5:0.1541052707028392 6:0.27074235807860264 7:0.30476747587013747 8:0.3651753325272068 9:0.3751835535976505 10:0.0 11:0.7066666666666667 12:0.5739290274726762 13:0.4723774929733302 14:0.4622501635210244 15:0.0 16:0.1111111111111111 17:0.0 18:0.1 19:0.0 20:0.25 #92615066
-1 1:0.4036020197881105 2:0.16071448431113794 3:0.637448559670782 4:0.0 5:0.17776199975193943 6:0.15429403202328967 7:0.18609242468558057 8:0.23408960733150894 9:0.24695825466750576 10:0.5 11:0.8133333333333334 12:0.578725721137534 13:0.4723774929733302 14:0.4494665749754947 15:0.0 16:0.1111111111111111 17:0.0 18:0.1 19:0.0 20:0.0 #250535927
-1 1:0.42445272190852085 2:0.1521781953186454 3:0.6939643347050755 4:0.0 5:0.16208970702686545 6:0.17758369723435224 7:0.20166715413863703 8:0.2587348055750016 9:0.28078456052024336 10:1.0 11:0.88 12:0.589543960574432 13:0.18181818181818182 14:0.45786854649563 15:0.0 16:0.07407407407407407 17:0.0 18:0.1 19:0.0 20:0.0 #259700996
-1 1:0.32206674216857173 2:0.1871421411178009 3:0.36200274348422495 4:0.0 5:0.11540604238520016 6:0.27074235807860264 7:0.30476747587013747 8:0.3651753325272068 9:0.3751835535976505 10:0.0 11:0.8 12:0.6224565022958909 13:0.4723774929733302 14:0.46676002800933664 15:0.0 16:0.1111111111111111 17:0.0 18:0.1 19:0.0 20:0.25 #92615066
-1 1:0.4174695581130764 2:0.10863014849841972 3:0.30685871056241426 4:0.0 5:0.10908794790982679 6:0.12809315866084425 7:0.17146826557472944 8:0.2111627314962133 9:0.2209460876861758 10:0.5 11:0.08 12:0.7044499550280166 13:0.2816715160878121 14:0.2917920730216057 15:0.0 16:0.14814814814814814 17:1.0 18:0.1 19:0.0 20:0.25 #97304875
